City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,santa ana de yacuma,-13.75,-65.4333,22.97,94,4,2.57,BO,1689167027
124,solvang,34.5958,-120.1377,12.03,100,0,0.0,US,1689167029
125,aasiaat,68.7098,-52.8699,4.21,97,100,3.38,GL,1689167030
126,bredasdorp,-34.5322,20.0403,16.61,54,0,1.84,ZA,1689167032
127,malanville,11.8685,3.3899,35.54,39,17,1.88,BJ,1689167033
128,bam,29.106,58.357,40.1,4,1,8.27,IR,1689167034
129,zimovniki,47.1483,42.4633,21.64,59,100,5.36,RU,1689167035
130,chamical,-30.36,-66.314,10.1,73,0,1.51,AR,1689167037
131,cidade velha,14.9167,-23.6167,28.26,65,75,6.17,CV,1689167038
132,walvis bay,-22.9575,14.5053,25.91,22,0,5.15,NA,1689167040
133,mokhsogollokh,61.4681,128.9203,18.51,92,99,1.84,RU,1689167041
134,nizhniy kuranakh,58.8353,125.4869,17.22,91,99,1.78,RU,1689167044
135,tangalle,6.024,80.7911,30.09,80,96,6.2,LK,1689167045
136,labytnangi,66.6572,66.4183,19.42,40,97,1.57,RU,1689167010
137,broken hill,-31.95,141.4333,8.98,60,0,1.42,AU,1689167050
138,lihue,21.9789,-159.3672,24.09,85,100,3.3,US,1689166859
139,murzuq,25.9155,13.9184,35.75,14,0,3.87,LY,1689166992
140,eenhana,-17.4667,16.3333,21.27,12,0,4.74,NA,1689167055
141,hilo,19.7297,-155.09,26.27,86,100,3.09,US,1689166764
142,iskateley,67.6803,53.1512,13.73,53,99,6.29,RU,1689167059
143,mil'kovo,55.6078,37.7956,16.27,48,96,5.44,RU,1689167060
144,susuman,62.7833,148.1667,14.05,60,24,3.69,RU,1689167062
145,miyako,39.6367,141.9525,21.88,84,100,2.15,JP,1689167068
146,bamboo flat,11.7,92.7167,29.05,79,40,5.14,IN,1689167073
147,ancud,-41.8697,-73.8203,3.09,87,7,1.25,CL,1689167075
148,avarua,-21.2078,-159.775,24.03,88,20,2.06,CK,1689167078
149,tottori,35.5,134.2333,26.04,89,75,1.54,JP,1689166927
150,nadym,65.5333,72.5167,17.75,45,97,2.52,RU,1689167081
151,jinchang,38.4953,102.1739,15.26,71,100,4.16,CN,1689167082
152,vorkuta,67.5,64.0,15.43,49,0,3.39,RU,1689167083
153,khamharia,20.9833,82.2667,29.5,68,94,2.2,IN,1689167084
154,thompson,55.7435,-97.8558,12.09,94,75,0.0,CA,1689166814
155,sweetwater,25.7634,-80.3731,33.34,69,40,2.24,US,1689167029
156,tsiombe,-25.3,45.4833,19.48,50,96,5.23,MG,1689167088
157,chui,-33.6971,-53.4616,13.79,68,100,7.13,UY,1689167089
158,greenville,35.6127,-77.3663,27.01,83,0,0.0,US,1689167067
159,cuatro cienegas de carranza,26.9833,-102.0833,28.58,52,58,1.31,MX,1689167092
160,santo augusto,-27.8508,-53.7772,18.22,86,100,4.34,BR,1689166797
161,shahr-e babak,30.1165,55.1186,35.47,5,0,9.9,IR,1689167094
162,chabahar,25.2919,60.643,30.38,75,8,5.1,IR,1689167096
163,taro,-8.3862,115.28,23.0,94,100,0.71,ID,1689167098
164,oranjemund,-28.55,16.4333,23.19,20,3,8.75,NA,1689167102
165,poronaysk,49.2167,143.1167,11.66,87,100,1.86,RU,1689167104
166,akureyri,65.6835,-18.0878,7.96,71,20,7.72,IS,1689167105
167,yeniseysk,58.4497,92.1703,19.61,59,0,1.85,RU,1689167107
168,glace bay,46.1969,-59.957,18.77,98,100,5.81,CA,1689166923
169,mitu,1.1983,-70.1733,24.39,90,71,0.44,CO,1689167109
170,north bend,43.4065,-124.2243,15.51,88,100,2.06,US,1689167111
171,saint-georges,12.0564,-61.7485,29.82,74,20,6.69,GD,1689167113
172,st. john's,47.5649,-52.7093,17.53,96,75,3.6,CA,1689167072
173,gargalianoi,37.0667,21.6333,32.34,57,0,3.67,GR,1689167116
174,qaqortoq,60.7167,-46.0333,9.08,81,32,2.64,GL,1689167117
175,pontes e lacerda,-15.2261,-59.3353,27.47,36,5,2.46,BR,1689167118
176,wailua homesteads,22.0669,-159.378,26.44,84,100,7.72,US,1689167120
177,myskhako,44.6714,37.7433,23.88,59,12,5.37,RU,1689167121
178,hermanus,-34.4187,19.2345,17.27,54,0,1.89,ZA,1689167122
179,rio grande,-32.035,-52.0986,16.06,85,100,10.76,BR,1689167124
180,new norfolk,-42.7826,147.0587,15.72,78,100,4.41,AU,1689167125
181,bedele,8.456,36.353,19.52,80,85,1.36,ET,1689167127
182,cockburn town,21.4612,-71.1419,28.5,78,4,6.6,TC,1689167128
183,velikiy ustyug,60.7644,46.3106,20.0,93,100,1.26,RU,1689167130
184,machico,32.7,-16.7667,29.28,69,20,9.26,PT,1689167132
185,portland,45.5234,-122.6762,16.53,84,75,2.06,US,1689167035
186,naze,28.3667,129.4833,26.51,85,100,3.99,JP,1689167135
187,sao miguel do araguaia,-13.275,-50.1628,32.31,32,0,1.39,BR,1689166848
188,khovd,48.0056,91.6419,19.66,50,2,0.66,MN,1689167138
189,labrador city,52.9463,-66.9114,15.95,88,100,3.09,CA,1689167142
190,heber city,40.5069,-111.4132,21.19,54,0,0.78,US,1689167123
191,kargopol',61.5071,38.9456,9.82,98,100,4.2,RU,1689167145
192,uturoa,-16.7333,-151.4333,26.57,74,8,10.56,PF,1689167146
193,richards bay,-28.783,32.0377,18.69,67,70,0.18,ZA,1689167147
194,shelomi,33.0747,35.1461,40.33,56,0,5.41,IL,1689167149
195,itoman,26.1247,127.6694,29.21,79,20,3.6,JP,1689167150
196,fort bragg,35.139,-79.006,28.03,79,0,2.06,US,1689167152
197,el nido,11.1858,119.3956,27.18,83,100,3.02,PH,1689167156
198,harper,4.375,-7.7169,25.99,82,100,4.8,LR,1689167158
199,dynow,49.8151,22.2339,24.71,49,27,6.0,PL,1689167159
200,ta`u,-14.2336,-169.5144,27.28,82,19,6.59,AS,1689167160
201,ulsteinvik,62.3432,5.8487,19.43,82,100,1.94,NO,1689167162
202,gorontalo,0.5412,123.0595,24.24,93,91,0.77,ID,1689167163
203,kailua-kona,19.6406,-155.9956,23.98,85,0,3.6,US,1689167165
204,hit,33.6416,42.8251,41.43,6,0,9.26,IQ,1689167167
205,okhotsk,59.3833,143.3,11.27,93,7,2.7,RU,1689167168
206,praia da vitoria,38.7333,-27.0667,23.14,94,75,12.94,PT,1689167170
207,weno,7.4515,151.8468,28.9,78,90,6.71,FM,1689167171
208,cuamba,-14.8031,36.5372,20.47,59,31,6.16,MZ,1689167172
209,yeghegnadzor,39.7639,45.3324,28.72,26,0,2.93,AM,1689167174
210,bikenibeu village,1.3673,173.1241,28.98,74,75,3.09,KI,1689167175
211,sinop,41.7711,34.8709,25.24,49,26,3.23,TR,1689167176
212,stanley,54.868,-1.6985,19.73,66,40,7.72,GB,1689167178
213,dindori,22.95,81.0833,27.0,81,100,2.76,IN,1689167179
214,dinkelsbuhl,49.0694,10.3199,29.97,37,93,7.06,DE,1689167181
215,klaksvik,62.2266,-6.589,11.51,98,100,7.82,FO,1689167182
216,olyokminsk,60.3736,120.4264,16.98,81,100,1.91,RU,1689167183
217,radzymin,52.4159,21.1841,30.68,33,100,3.1,PL,1689167185
218,klyuchi,52.2667,79.1667,36.99,21,12,2.66,RU,1689167187
219,markovo,57.3206,107.0881,14.03,87,10,0.43,RU,1689167189
220,chipinge,-20.1883,32.6236,14.9,53,39,3.73,ZW,1689166946
221,demba,-5.51,22.2667,36.03,18,6,2.45,CD,1689167192
222,camacupa,-12.0167,17.4833,23.61,12,0,2.14,AO,1689167081
223,tavricheskoye,54.5851,73.6395,38.95,26,7,1.61,RU,1689167195
224,lompoc,34.6391,-120.4579,11.08,98,100,0.0,US,1689167197
225,pisco,-13.7,-76.2167,18.03,82,11,3.6,PE,1689167199
226,itacarambi,-15.1022,-44.0919,29.29,31,0,2.24,BR,1689167201
227,taltal,-25.4,-70.4833,17.32,51,0,1.26,CL,1689167205
228,vadso,70.0744,29.7487,27.49,41,0,5.66,NO,1689166997
229,dhidhdhoo,6.8833,73.1,28.19,76,100,5.18,MV,1689167208
230,roha,18.4333,73.1167,25.54,90,100,1.45,IN,1689167209
231,road town,18.4167,-64.6167,28.02,78,75,6.17,VG,1689167210
232,young,-32.6833,-57.6333,9.39,87,100,8.01,UY,1689167188
233,dawson creek,55.7666,-120.2362,12.95,83,15,1.24,CA,1689167213
234,jabat,7.75,168.9751,28.0,81,18,6.75,MH,1689167214
